PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id
KUL,EAC,ACA1,B,rafinord,,,,,,20200201,,,,,,,,,,,,9:20,,,,,,DEPAR,,,,1.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,DHL EXPRESS M SDN BHD,"LOT PT 13757,JALAN HARUAN 1
OAKLAND INDUSTRIAL PARK
SEREMBAN",70300,SEREMBAN,20200201,D,NORMAL,,DOM,N,2.0,0.0,6.0,7.0,31.32,1/2/2020 9:07,9:22,,23:59,,,7511555413,OK,DL,1.0,,2.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,THIAM YEW CHUA,"249, JALAN 9, TAMAN BUKIT GALENA
N/A
SEREMBAN",70200,SEREMBAN,20200201,D,NORMAL,,WPX,P,1.0,0.0,0.0,1.0,1.26,1/2/2020 9:07,9:39,,23:59,2.7291412999999998,101.90892020000001,8402377443,OK,DL,2.0,,3.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,FG FAMILY GOLD,"NO.113, JLN KESUMA 4B / 1
BDR TASIK KESUMA 40 SELANGOR
BERANANG",43700,BERANANG,20200201,P,,REGULAR,WPX,P,2.0,0.0,2.0,2.0,1.78,,10:15,9:00,12:00,2.9138122,101.8720849,6224210694,PU,PU,1.0,,4.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,MANDY LEE,"30 JALAN KESUMA 7/5
BANDAR TASIK KESUMA SELANGOR
BERANANG",43700,BERANANG,20200201,D,NORMAL,,WPX,P,1.0,0.0,1.0,1.0,0.991,,10:20,,23:59,2.8985776000000003,101.87141159999999,4757007743,OK,DL,3.0,,5.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,OJO FREEMAN,"NO156 JALAN KAYANGEN 6
TAMAN KAYANGAN PELANGI
MANTIN",71700,MANTIN,20200201,D,NORMAL,,XEP,8,1.0,0.0,0.0,1.0,0.25,1/2/2020 9:07,10:32,,23:59,2.8649815,101.864946,3305352750,OK,DL,4.0,,6.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,ROBINDER SINGH JAJ,"LOT 1524 BUKIT TUAN SHEIKH
PORT DICKSON 70
PORT DICKSON",71000,PORT DICKSON,20200201,D,NORMAL,,WPX,P,1.0,0.0,1.0,1.0,1.98,1/2/2020 9:07,11:15,,23:59,,,8414782950,OK,DL,5.0,,7.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,THUNDER MATCH TECHNOLOGY,"LOT F36 1ST FLOOR, JUSCO SEREMBAN 2
SHOPPING CENTRE,112 PRSN S2 B1, 70 N.SEMBILA
SEREMBAN",70300,SEREMBAN,20200201,D,NORMAL,,DOM,N,5.0,0.0,4.0,5.0,38.4,1/2/2020 9:07,11:28,,23:59,,,7125328733,OK,DL,6.0,,8.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,HEALTHLANE PHARMACY SEREMBAN 2,"903, JALAN S2 F 23, GARDEN HOME
NEGERI SEMBILAN 70 N.SEMBILAN
SEREMBAN",70300,SEREMBAN,20200201,D,NORMAL,,DOM,N,1.0,0.0,0.0,1.0,0.07,1/2/2020 9:07,11:30,,23:59,,,2928202211,OK,DL,8.0,,9.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,SITI AISYAH MOHAMMAD GHAZALI,"781 JALAN S2 D23
CITY HOMES SEREMBAN 2
SEREMBAN",70300,SEREMBAN,20200201,D,NORMAL,,WPX,P,1.0,0.0,0.0,1.0,1.5,1/2/2020 9:07,11:30,,23:59,,,6335158395,OK,DL,7.0,,10.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,THUNDERMATCH@SEREMBAN,"LOT NO.44B, 4TH FLOOR SEREMBAN
.
GATEWAY, OFF JALAN SUNGAI UJONG, GATEWAY, OF",70200,SEREMBAN,20200201,D,NORMAL,,BBX,B,1.0,0.0,0.0,1.0,0.05,1/2/2020 9:07,11:31,,23:59,,,4135422314,OK,DL,9.0,,11.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,"PANG, YIH FEI","NO 38 , JALAN MPK 4,
MEDAN PERDAGANGAN KEPAYANG
SEREMBAN",70200,SEREMBAN,20200201,D,NORMAL,,BBX,B,1.0,0.0,0.0,1.0,0.63,1/2/2020 9:07,11:46,,23:59,,,4980516520,OK,DL,10.0,,12.0
KUL,EAC,ACA1,B,rafinord,DHL Courier,ADMIRAL MARINA BERHAD,"BATU 5, JALAN PANTAI
SI RUSA
SI RUSA",71050,SI RUSA,20200201,D,NORMAL,,DOM,N,1.0,0.0,0.0,1.0,0.12,1/2/2020 9:07,12:56,,23:59,,,1261327292,OK,DL,11.0,,13.0
KUL,EAC,ACA1,B,rafinord,,,,,,20200201,,,,,,,,,,,,12:56,,,2.7047678,101.9165453,,ARRVD,,,,14.0
KUL,EAC,ACA2,B,mohhamda,DHL Courier,,,,,20200201,,,,,,0.0,0.0,0.0,,,,9:37,,23:59,2.7028412,101.9113186,,DEPAR,,,,15.0
