,Unnamed: 0,PUD Rte,PUD Cycle,Courier id,zip,Act Base,Prod Grp,Prod Code,AR dtm,Act Tm,Open,Closed,lat,lgtd,Act Ckpt Code,PuD Type
0,1,PJA1,B,goramali,40470,D,DOX,D,2020-01-16 09:03:00,10:44,,23:59,3.0171031000000004,101.52341390000001,OK,DL
1,2,PJA1,B,goramali,40400,D,DOX,D,2020-01-16 09:04:00,10:50,,23:59,3.012378,101.52159509999998,OK,DL
2,3,PJA1,B,goramali,40460,D,DOM,N,2020-01-15 21:46:00,10:58,,23:59,3.0054585,101.5165286,OK,DL
3,4,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 01:29:00,11:00,,23:59,3.0052323,101.5160936,OK,DL
4,5,PJA1,B,goramali,40460,D,DOM,N,2020-01-15 22:35:00,11:04,,23:59,3.007725,101.5144261,OK,DL
5,6,PJA1,B,goramali,40470,D,DOX,D,2020-01-16 09:03:00,11:07,,23:59,3.0085747000000005,101.5143024,OK,DL
6,7,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:03:00,11:10,,23:59,3.0100982000000003,101.51031440000001,OK,DL
7,8,PJA1,B,goramali,40470,D,DOX,D,2020-01-16 09:03:00,11:14,,23:59,3.0113436,101.5042952,OK,DL
8,9,PJA1,B,goramali,40000,D,DOX,D,2020-01-16 09:03:00,11:24,,23:59,3.0055212000000004,101.5020171,OK,DL
9,10,PJA1,B,goramali,40470,D,WPX,P,2020-01-16 09:04:00,11:27,,23:59,3.0053908,101.4993913,OK,DL
10,11,PJA1,B,goramali,40460,D,BBX,B,2020-01-16 00:53:00,11:34,,23:59,2.9974914,101.49906390000001,OK,DL
11,12,PJA1,B,goramali,40460,D,DOM,N,2020-01-15 22:26:00,11:36,,23:59,2.9986051,101.4986878,OK,DL
12,13,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 09:04:00,11:39,,23:59,2.9989158,101.4999065,OK,DL
13,14,PJA1,B,goramali,40460,D,WPX,P,2020-01-15 09:01:00,11:46,,23:59,2.9990468999999997,101.5093982,OK,DL
14,15,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:03:00,11:50,,23:59,2.994862,101.5129468,OK,DL
15,16,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:03:00,11:52,,23:59,2.9946995,101.51407890000002,OK,DL
16,17,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 09:04:00,11:55,,23:59,2.9929241,101.5122819,OK,DL
17,18,PJA1,B,goramali,40460,D,DOM,N,2020-01-15 22:35:00,11:57,,23:59,2.9912026000000003,101.5121902,OK,DL
18,19,PJA1,B,goramali,40460,D,DOM,N,2020-01-16 01:51:00,12:03,,23:59,2.9869435,101.5041821,OK,DL
19,20,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 09:04:00,12:12,,23:59,2.9832697999999995,101.51097970000001,OK,DL
20,21,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:03:00,12:15,,23:59,2.983767,101.5114192,OK,DL
21,22,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:03:00,12:20,,23:59,2.9847221,101.511202,OK,DL
22,23,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:03:00,12:21,,23:59,2.98515,101.5111113,OK,DL
23,24,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:04:00,12:22,,23:59,2.9848837,101.510857,OK,DL
24,25,PJA1,B,goramali,40460,D,DOM,N,2020-01-15 21:51:00,12:25,,23:59,2.9837562,101.50994370000001,OK,DL
25,26,PJA1,B,goramali,40460,D,DOM,N,2020-01-15 21:47:00,12:29,,23:59,2.9842006000000003,101.50645779999999,OK,DL
26,27,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:03:00,12:33,,23:59,2.9850496,101.51487409999999,OK,DL
27,28,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 09:04:00,12:43,,23:59,2.9892385,101.51658590000001,OK,DL
28,29,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:03:00,12:46,,23:59,2.9906563999999998,101.5176221,OK,DL
29,30,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 09:04:00,14:25,,23:59,2.9990353,101.52506009999999,OK,DL
30,31,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:04:00,14:27,,23:59,2.9998916,101.52616529999999,OK,DL
31,32,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:03:00,14:33,,23:59,3.0012321,101.5273335,OK,DL
32,33,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 09:03:00,14:35,,23:59,3.0009048,101.5284243,OK,DL
33,34,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 09:04:00,14:44,,23:59,2.9947554,101.52848440000001,OK,DL
35,37,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 09:03:00,15:12,,23:59,2.9998552000000003,101.5168128,OK,DL
37,43,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 09:03:00,16:12,,23:59,2.9863117999999997,101.5112147,OK,DL
38,45,PJA1,B,goramali,40460,D,DOX,D,2020-01-16 09:03:00,16:19,,23:59,2.9853022,101.50944140000001,OK,DL
39,50,PJA1,B,goramali,40460,D,WPX,P,2020-01-16 09:03:00,16:50,,23:59,2.9853484,101.5080987,OK,DL
41,56,PJA1,B,goramali,40470,D,DOM,N,2020-01-16 00:02:00,17:45,,23:59,3.0137199,101.52127340000001,OK,DL
42,58,PJA1,B,goramali,40470,D,WPX,P,2020-01-16 01:27:00,17:46,,23:59,3.0137199,101.52127340000001,OK,DL
43,69,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,10:49,,23:59,3.0046922,101.53691479999999,OK,DL
44,70,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,10:52,,23:59,3.0038486,101.53702829999999,OK,DL
46,72,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,11:07,,23:59,3.0002925,101.5342168,OK,DL
47,73,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,11:11,,23:59,3.0002294999999997,101.5341104,OK,DL
48,74,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,11:16,,23:59,3.0002681,101.5341485,OK,DL
49,75,PJA2,B,mbinmuha,40460,D,DOT,1,2020-01-16 05:17:00,11:20,,12:00,3.0002461,101.53422509999999,OK,DL
50,76,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,11:26,,23:59,3.0002174,101.5328416,OK,DL
51,77,PJA2,B,mbinmuha,40460,D,DOM,N,2020-01-15 21:46:00,11:29,,23:59,2.9985178,101.5325996,OK,DL
52,78,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:04:00,11:32,,23:59,3.0004593999999996,101.53067390000001,OK,DL
53,79,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,11:36,,23:59,3.0052322,101.5359051,OK,DL
54,80,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:03:00,11:40,,23:59,3.0050573,101.5396604,OK,DL
55,81,PJA2,B,mbinmuha,40000,D,TDT,T,2020-01-16 09:03:00,11:50,,12:00,2.9786947999999995,101.54385359999999,OK,DL
56,82,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,11:53,,23:59,2.9783942000000003,101.5439671,OK,DL
57,83,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,11:56,,23:59,2.9797185,101.5438856,OK,DL
58,84,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,11:59,,23:59,2.9812799,101.5446556,OK,DL
59,85,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,12:02,,23:59,2.9807781,101.54641509999999,OK,DL
60,86,PJA2,B,mbinmuha,40460,D,DOM,N,2020-01-15 21:51:00,12:05,,23:59,2.9809811,101.548884,OK,DL
61,87,PJA2,B,mbinmuha,40400,D,DOX,D,2020-01-16 09:03:00,12:11,,23:59,2.9761382000000003,101.5452849,OK,DL
62,88,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:04:00,12:14,,23:59,2.9776557999999995,101.5487416,OK,DL
63,89,PJA2,B,mbinmuha,40706,D,DOX,D,2020-01-16 09:03:00,12:17,,23:59,2.9783714,101.5502686,OK,DL
64,90,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,12:22,,23:59,2.9774264,101.54747590000001,OK,DL
65,91,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,12:25,,23:59,2.9831512000000004,101.54658020000001,OK,DL
66,92,PJA2,B,mbinmuha,40460,D,DOM,N,2020-01-15 21:45:00,12:26,,23:59,2.9829662,101.5451196,OK,DL
67,93,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,12:28,,23:59,2.9831355999999998,101.54395600000001,OK,DL
68,94,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,12:30,,23:59,2.9828435,101.54401120000001,OK,DL
69,95,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 01:30:00,12:34,,23:59,2.984032,101.5433291,OK,DL
70,96,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,12:37,,23:59,2.9847232000000004,101.5443406,OK,DL
71,97,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,12:38,,23:59,2.9850872,101.5456402,OK,DL
72,98,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 01:29:00,12:40,,23:59,2.985316,101.54624240000001,OK,DL
73,99,PJA2,B,mbinmuha,40460,D,DOM,N,2020-01-15 22:35:00,12:43,,23:59,2.9854686000000004,101.547598,OK,DL
74,100,PJA2,B,mbinmuha,40460,D,DOM,N,2020-01-16 00:15:00,12:46,,23:59,2.9884755000000003,101.5476252,OK,DL
76,102,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,12:50,,23:59,2.9888977999999997,101.54583740000001,OK,DL
77,103,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,12:54,,23:59,2.9881195,101.54826740000001,OK,DL
79,105,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:03:00,13:08,,23:59,3.0000609000000003,101.5437474,OK,DL
80,106,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 06:03:00,13:18,,23:59,2.9863774,101.5403762,OK,DL
81,107,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,13:27,,23:59,2.9952693999999997,101.5391345,OK,DL
82,108,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,13:32,,23:59,2.9824813999999997,101.5378755,OK,DL
83,109,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,13:36,,23:59,2.9747029,101.5420085,OK,DL
84,110,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,13:36,,23:59,2.9747029,101.5420085,OK,DL
85,111,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:03:00,13:39,,23:59,2.9738178,101.5425364,OK,DL
86,112,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:03:00,13:44,,23:59,2.9783042,101.5421814,OK,DL
88,115,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,14:56,,23:59,2.9976075,101.53255779999999,OK,DL
90,121,PJA2,B,mbinmuha,40460,D,DOX,D,2020-01-16 09:04:00,15:37,,23:59,2.9872131,101.54626280000001,OK,DL
91,124,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,15:51,,23:59,2.9856255000000003,101.54409659999999,OK,DL
94,135,PJA2,B,mbinmuha,40460,D,WPX,P,2020-01-16 09:04:00,17:17,,23:59,2.9914942000000004,101.5342814,OK,DL
95,139,PJA3,B,nazulkif,40400,D,DOX,D,2020-01-16 09:03:00,10:47,,23:59,3.0405592999999995,101.5541648,OK,DL
96,140,PJA3,B,nazulkif,40000,D,WPX,P,2020-01-16 09:04:00,10:53,,23:59,3.0379232000000003,101.553863,OK,DL
