,PUD Rte,PUD Cycle,Courier id,zip,Act Base,Prod Grp,Prod Code,AR dtm,Act Tm,Open,Closed,lat,lgtd,Act Ckpt Code,PuD Type
1,PJA1,B,goramali,40470,D,DOX,D,1/16/2020 9:03,10:44,,23:59,3.0171031,101.5234139,OK,DL
2,PJA1,B,goramali,40400,D,DOX,D,1/16/2020 9:04,10:50,,23:59,3.012378,101.5215951,OK,DL
3,PJA1,B,goramali,40460,D,DOM,N,1/15/2020 21:46,10:58,,23:59,3.0054585,101.5165286,OK,DL
4,PJA1,B,goramali,40460,D,WPX,P,1/16/2020 1:29,11:00,,23:59,3.0052323,101.5160936,OK,DL
5,PJA1,B,goramali,40460,D,DOM,N,1/15/2020 22:35,11:04,,23:59,3.007725,101.5144261,OK,DL
6,PJA1,B,goramali,40470,D,DOX,D,1/16/2020 9:03,11:07,,23:59,3.0085747,101.5143024,OK,DL
7,PJA1,B,goramali,40460,D,DOX,D,1/16/2020 9:03,11:10,,23:59,3.0100982,101.5103144,OK,DL
8,PJA1,B,goramali,40470,D,DOX,D,1/16/2020 9:03,11:14,,23:59,3.0113436,101.5042952,OK,DL
9,PJA1,B,goramali,40000,D,DOX,D,1/16/2020 9:03,11:24,,23:59,3.0055212,101.5020171,OK,DL
10,PJA1,B,goramali,40470,D,WPX,P,1/16/2020 9:04,11:27,,23:59,3.0053908,101.4993913,OK,DL
11,PJA1,B,goramali,40460,D,BBX,B,1/16/2020 0:53,11:34,,23:59,2.9974914,101.4990639,OK,DL
12,PJA1,B,goramali,40460,D,DOM,N,1/15/2020 22:26,11:36,,23:59,2.9986051,101.4986878,OK,DL
13,PJA1,B,goramali,40460,D,WPX,P,1/16/2020 9:04,11:39,,23:59,2.9989158,101.4999065,OK,DL
14,PJA1,B,goramali,40460,D,WPX,P,1/15/2020 9:01,11:46,,23:59,2.9990469,101.5093982,OK,DL
15,PJA1,B,goramali,40460,D,DOX,D,1/16/2020 9:03,11:50,,23:59,2.994862,101.5129468,OK,DL
16,PJA1,B,goramali,40460,D,DOX,D,1/16/2020 9:03,11:52,,23:59,2.9946995,101.5140789,OK,DL
17,PJA1,B,goramali,40460,D,WPX,P,1/16/2020 9:04,11:55,,23:59,2.9929241,101.5122819,OK,DL
18,PJA1,B,goramali,40460,D,DOM,N,1/15/2020 22:35,11:57,,23:59,2.9912026,101.5121902,OK,DL
19,PJA1,B,goramali,40460,D,DOM,N,1/16/2020 1:51,12:03,,23:59,2.9869435,101.5041821,OK,DL
20,PJA1,B,goramali,40460,D,WPX,P,1/16/2020 9:04,12:12,,23:59,2.9832698,101.5109797,OK,DL
21,PJA1,B,goramali,40460,D,DOX,D,1/16/2020 9:03,12:15,,23:59,2.983767,101.5114192,OK,DL
22,PJA1,B,goramali,40460,D,DOX,D,1/16/2020 9:03,12:20,,23:59,2.9847221,101.511202,OK,DL
23,PJA1,B,goramali,40460,D,DOX,D,1/16/2020 9:03,12:21,,23:59,2.98515,101.5111113,OK,DL
24,PJA1,B,goramali,40460,D,DOX,D,1/16/2020 9:04,12:22,,23:59,2.9848837,101.510857,OK,DL
25,PJA1,B,goramali,40460,D,DOM,N,1/15/2020 21:51,12:25,,23:59,2.9837562,101.5099437,OK,DL
26,PJA1,B,goramali,40460,D,DOM,N,1/15/2020 21:47,12:29,,23:59,2.9842006,101.5064578,OK,DL
27,PJA1,B,goramali,40460,D,DOX,D,1/16/2020 9:03,12:33,,23:59,2.9850496,101.5148741,OK,DL
28,PJA1,B,goramali,40460,D,WPX,P,1/16/2020 9:04,12:43,,23:59,2.9892385,101.5165859,OK,DL
29,PJA1,B,goramali,40460,D,DOX,D,1/16/2020 9:03,12:46,,23:59,2.9906564,101.5176221,OK,DL
30,PJA1,B,goramali,40460,D,WPX,P,1/16/2020 9:04,14:25,,23:59,2.9990353,101.5250601,OK,DL
