PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id
KUL,EAC,ACA5,B,aslann,,,,,,20200204,,,,,,,,,,,,14:00:00,,,2.7047006,101.916596,,DEPAR,,,,553arrvd
KUL,EAC,ACA5,B,aslann,,FIZLESTARI PLASTIC SDN BHD,FIZLESTARI PLASTIC SDN BHD,71800,NILAI,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,0.64,,14:22:30,14:00,16:30,2.8518844,101.8142595,4693672303,PU,PU,16.0,,683
KUL,EAC,ACA5,B,aslann,,SCHUTZ M SDN BHD,SCHUTZ M SDN BHD,71800,NILAI,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.5,,14:28:17,14:40,17:00,2.8575703,101.816725,6904658460,PU,PU,12.0,,679
KUL,EAC,ACA5,B,aslann,,PCA,PCA,71800,NILAI,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.12,,14:34:13,17:00,18:00,2.8615604,101.8169182,2806408684,PU,PU,10.0,,677
KUL,EAC,ACA5,B,aslann,,JANOSCHKA MALAYSIA SDN. BHD.,JANOSCHKA MALAYSIA SDN. BHD.,71800,NILAI,20200204,P,,REGULAR,DOX,D,2.0,0.0,1.0,2.0,3.34,,14:42:56,11:00,17:00,2.867291,101.80663309999998,4886677331,PU,PU,15.0,,682
KUL,EAC,ACA5,B,aslann,,INTERPRINT DECOR M SDN BHD,INTERPRINT DECOR M SDN BHD,71800,NILAI,20200204,P,,REGULAR,WPX,P,2.0,2.0,1.0,3.0,7.88,,14:47:59,16:30,17:30,2.8672528,101.8067958,1613304232,PU,PU,14.0,,681
KUL,EAC,ACA5,B,aslann,,PERIDENT STAR SDN BHD,PERIDENT STAR SDN BHD,71800,NILAI,20200204,P,,REGULAR,WPX,P,1.0,0.0,0.0,1.0,0.08,,14:55:50,17:00,18:00,2.8655224,101.8155748,6905038291,PU,PU,13.0,,680
KUL,EAC,ACA5,B,aslann,,TECHNOMEIJI RUBBER SDN BHD,TECHNOMEIJI RUBBER SDN BHD,71800,NILAI,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.5,,15:01:24,15:00,17:00,2.861949,101.8160453,3260087865,PU,PU,11.0,,678
KUL,EAC,ACA5,B,aslann,,FIBERTEX PERSONAL CARE SDN BHD,FIBERTEX PERSONAL CARE SDN BHD,71800,NILAI,20200204,D,NORMAL,,WPX,P,1.0,0.0,1.0,1.0,1.4,4/2/2020 9:50,15:09:14,,23:59,2.8553892000000003,101.8099957,6901754786,OK,DL,15.0,,674
KUL,EAC,ACA5,B,aslann,,FIBERTEX PERSONAL CARE SDN BHD,FIBERTEX PERSONAL CARE SDN BHD,71800,NILAI,20200204,P,,REGULAR,DOX,D,7.0,0.0,0.0,7.0,2.85,,15:16:23,17:00,18:00,2.8546906,101.8088118,3260066154,PU,PU,8.0,,675
KUL,EAC,ACA5,B,aslann,,KIAN JOO CAN PACK SDN BHD,KIAN JOO CAN PACK SDN BHD,71800,NILAI,20200204,P,,REGULAR,DOX,D,3.0,0.0,2.0,4.0,58.49,,15:24:32,15:00,17:00,2.8617318,101.8016954,5862421924,PU,PU,7.0,,673
KUL,EAC,ACA5,B,aslann,,JOHNSON MATTHEY MALAYSIA SDN BHD,JOHNSON MATTHEY MALAYSIA SDN BHD,71800,NILAI,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.1,,15:29:34,13:15,17:00,2.8617353,101.8015806,1613295876,PU,PU,6.0,,672
KUL,EAC,ACA5,B,aslann,,SUNRICH SERENE SDN BHD,SUNRICH SERENE SDN BHD,71800,NILAI,20200204,P,,REGULAR,XED,7,1.0,0.0,0.0,1.0,0.13,,15:36:09,9:30,17:00,2.861749,101.7987522,1613319260,PU,PU,9.0,,676
KUL,EAC,ACA5,B,aslann,,,,,,20200204,,,,,,,,,,,,16:05:43,,,2.7047006,101.916596,,ARRVD,,,,553arrvd
