PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id,batchID
KUL,EAC,ACC1,B,kumaraj,Service Partner,,,,,20200204,,,,,,0.0,0.0,0.0,,,,14:00:00,,23:59,2.6856866000000004,101.91690290000001,,DEPAR,,,,596arrvd,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,TDK MALAYSIA SDN.BHD,"PT 1164 ,
NILAI INDUSTRIAL ESTATE
NILAI",71800,NILAI,20200204,P,,REGULAR,WPX,P,1.0,0.0,1.0,1.0,2.88,,14:22:39,14:00,17:00,2.8300993,101.8139983,6904753100,PU,PU,17.0,,684,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,TECHNOMEIJI RUBBER S,"LOT 3362, ARAB MALAYSIAN INDUSTRIAL PARK, JALAN PERMATA 1, 71800 NILAI NEGERI SEMBILAN, MALAYSIA",71800,NILAI,20200204,P,,REGULAR,,,0.0,0.0,0.0,0.0,,,14:27:58,16:00,17:00,2.8307864,101.8141661,086262 - 550357399,FP,FP,2.0,,693,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,ALPS ELECTRIC MALAYSIA SDN BHD,"PT 10643, NILAI INDUSTRIAL ESTATE
NILAI
NILAI",71800,NILAI,20200204,D,NORMAL,,DOM,N,3.0,0.0,1.0,3.0,7.22,4/2/2020 9:05,14:33:36,,23:59,2.8317802000000003,101.8144758,1261326651,OK,DL,16.0,,685,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,ALPS ELECTRIC MALAYSIA SDN BHD,"PT. 10643,
NILAI INDUSTRIAL ESTATE, 70 N.SEMBILAN
NILAI",71800,NILAI,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.08,,14:39:33,17:00,18:30,2.8315702000000003,101.816616,3260070391,PU,PU,22.0,,692,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,ALPS,"PT.10643,
NILAI INDUSTRIAL ESTATE, 70 NEGERI SEMBILAN 
NILAI",71800,NILAI,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,0.11,,14:44:34,15:00,17:00,2.8317142000000004,101.8166725,4051204360,PU,PU,18.0,,686,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,VALSER ENGINEERING & SERVICES,"LOT 3 JALAN NILAM 3 NILAI UTAMA
NEGERI SEMBILAN
NILAI",71800,NILAI,20200204,D,NORMAL,,WPX,P,1.0,0.0,1.0,1.0,6.4,4/2/2020 9:05,14:57:06,,23:59,2.8497998,101.8096357,3191803672,OK,DL,14.0,,671,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,MATTHEW LAWRENCE,"137 JALAN BUKIT CITRA 2/7
PAJAM 70 N.SEMBILAN
NILAI",71800,NILAI,20200204,D,NORMAL,,DOX,D,2.0,0.0,0.0,2.0,1.0,23/1/2020 10:01,15:14:35,,23:59,2.8560632000000004,101.8312077,4968345443,OK,DL,7.0,,455,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,AZLAN BEKRI,"298, JALAN BUKIT CITRA4
TAMAN BUKIT CITRA 70 N.SEMBILAN
MANTIN",71700,MANTIN,20200204,P,,REGULAR,WPX,P,1.0,0.0,1.0,1.0,2.32,,15:22:58,15:45,16:30,2.8544718,101.8342072,4239261961,PU,PU,6.0,,469,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,ROBUST ENERGY SDN BHD,"NO 588, JALAN TM1, TAMAN MULIA

",71700,MANTIN,20200204,D,NORMAL,,WPX,P,1.0,1.0,0.0,1.0,48.081,3/2/2020 6:35,15:32:21,,23:59,2.8451709,101.8426373,6835985796,OK,DL,6.0,,454,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,MISS P. HARDISTY,"KOLEJ TUANKU JAAFAR
MANTIN
MANTIN",71700,MANTIN,20200204,D,NORMAL,,DOX,D,1.0,0.0,0.0,1.0,0.12,4/2/2020 9:05,15:47:32,,23:59,2.8455084,101.8638248,1130265603,OK,DL,14.0,,468,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,ANN LOW,"NO 30 JALAN BUKIT BELIAN 3
TMN BUKIT BELIAN MANTIN
MANTIN",71700,MANTIN,20200204,D,NORMAL,,WPX,P,1.0,0.0,1.0,1.0,16.95,4/2/2020 9:50,16:01:55,,23:59,2.8321,101.8969631,8153313976,OK,DL,5.0,,453,20200204-a-596
KUL,EAC,ACC1,B,kumaraj,Service Partner,,,,,20200204,,,,,,0.0,0.0,0.0,,,,16:19:52,,23:59,2.6856866000000004,101.91690290000001,,ARRVD,,,,596arrvd,20200204-a-596
