PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id,batchID
KUL,EAC,ACC3,B,mbakri,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,14:00:00,,23:59,2.7047607000000005,101.9166797,,DEPAR,,,,622arrvd,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,UNITED OVERSEAS BANK MALAYSIA BER,"24-26 JALAN DATO LEE FONG YEE
SEREMBAN, NEGERI SEMBILAN
SEREMBAN",70000,SEREMBAN,20200204,P,,REGULAR,DOX,D,13.0,0.0,0.0,13.0,3.09,,14:00:46,16:00,17:30,2.7251176,101.9393771,6905182421,PU,PU,3.0,,569,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,KELLOGG ASIA PRODUCTS SDN. BHD.,"LOT 1-5, JALAN TEKNOLOGI 5,
TAMAN TEKNOLOGI ENSTEK,
BANDAR ENSTEK",71760,BANDAR ENSTEK,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.17,,14:11:09,,,2.7047786,101.9166309,6905211806,PU,PU,14.0,,726,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,RSEMICON TECHNOLOGY SDN BHD,"NO 49, JALAN S2/C2
GREEN TECHNOLOGY PARK
SEREMBAN",70300,SEREMBAN,20200204,P,,REGULAR,WPX,P,3.0,0.0,0.0,3.0,1.38,,14:16:10,,,2.7048166,101.9165714,6905052383,PU,PU,7.0,,593,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,DHL EXPRESS M SDN BHD,"P.T NO 13757, JALAN HARUAN 1
OAKLAND INDUSTRIAL PARK 70 70300
SEREMBAN",70300,SEREMBAN,20200204,P,,REGULAR,DOM,N,2.0,0.0,2.0,2.0,13.6,,14:21:11,,,2.7048715,101.9165003,4239376864,PU,PU,8.0,,594,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,SOUTHLAND TATT WIN RUBBER SDN BHD,"100, LEVEL 2, JALAN S2B20,
PUSAT DAGANGAN SEREMBAN 2 70 N.SEMBILAN
SEREMBAN",70300,SEREMBAN,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,1.35,,14:26:12,,,2.7047588,101.916632,4239305991,PU,PU,15.0,,727,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,INTI INTERNATIONAL EDUCATION S/B,"PERSIARAN PERDANA BBN PUTRA NILAI
. 70 N.SEMBILAN
NILAI",71800,NILAI,20200204,P,,REGULAR,WPX,P,2.0,0.0,9.0,9.0,138.24,,14:31:12,11:15,17:00,2.7048527,101.91668,2619820350,PU,PU,24.0,,695,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,MAXFAME TECHNOLOGIES SDN BHD,"A-2-16, COPLACE 2
2260 JALAN USAHAWAN 1
CYBERJAYA",63000,CYBERJAYA,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.2,,14:36:20,11:30,16:00,2.7047421,101.9168708,6904677975,PU,PU,5.0,,515,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,name,"Jalan Rumbia, Kampung Seberang Paya, 11900 Bayan Lepas, Pulau Pinang",11111,123,20200204,P,NORMAL,REGULAR,testG,test,0.0,0.0,0.0,0.0,0.0,20200204,14:41:20,00:00:00,23:59:00,2.7047421,101.9168708,a_7589,OK,pudType,,,7589,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,WALTER L HOWELL,"1 JALAN WARISAN SETIA 5/11
KOTA WARISAN SE
SEPANG",43900,SEPANG,20200204,P,,REGULAR,WPX,P,1.0,0.0,1.0,1.0,3.3,,14:46:20,,,2.7047366000000004,101.9169276,7782471034,PU,PU,14.0,,528,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,AIRASIA BERHAD,"LOT PT 25
JALAN KLIA S5 40 SELANGOR
KLIA",64000,KLIA,20200204,P,,REGULAR,WPX,P,7.0,17.0,24.0,41.0,279.88,,14:51:38,14:45,16:30,2.7045651,101.9167152,3260084015,PU,PU,1.0,,766,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,SCHUTZ M SDN BHD,"PT 27773 JLN NILAM 3, NILAI UTAMA
NEGERI SEMBILAN
NILAI",71800,NILAI,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,0.4,,14:56:41,,,2.7047345000000003,101.9165899,6905059991,PU,PU,4.0,,649,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,APPLE MALAYSIA SDN. BH,"LOT NO.44B, 4TH FLOOR SEREMBAN
. NEGERI SEMBILAN
SEREMBAN",70200,SEREMBAN,20200204,D,NORMAL,,WPX,P,1.0,0.0,1.0,1.0,0.64,4/2/2020 13:13,15:05:39,,23:59,2.7170919,101.919622,8254125880,OK,DL,12.0,,566,20200204-a-622
KUL,EAC,ACC3,B,mbakri,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,15:16:13,,23:59,2.7047607000000005,101.9166797,,ARRVD,,,,622arrvd,20200204-a-622
