PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id,batchID
KUL,EAC,ACA4,B,moazrul,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,14:00:00,,23:59,2.704775,101.9168717,,DEPAR,,,,530arrvd,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,NEU JKF ASIA SDN BHD,"LOT 8521, PERSIARAN INDUSTRI GALLA,
GALLA INDUSTRIAL PARK 70
SEREMBAN",70200,SEREMBAN,20200204,P,,REGULAR,WPX,P,1.0,1.0,0.0,1.0,54.5,,14:10:05,14:12,16:30,2.7382276,101.8959043,3260069212,PU,PU,7.0,,470,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,SEPANG INTERNATIONAL CIRCUIT SDN. B,"WELCOME CENTRE,
JALAN PERKELILING,
KLIA",64000,KLIA,20200204,D,NORMAL,,WPX,P,2.0,0.0,9.0,9.0,98.3,3/2/2020 6:35,14:39:57,,23:59,2.8103125,101.7776146,7980846510,HN,HN,1.0,,764,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,AMIRAH ADRIANA AMMAR,"NO.27 JALAN SERI PUTRA 3/R
BANDAR SERI PUTRA 40 SELANGOR
KAJANG",43000,KAJANG,20200204,P,,REGULAR,XED,7,3.0,0.0,0.0,3.0,1.21,,14:48:10,14:30,17:00,2.8123928,101.7618451,4886778514,PU,PU,21.0,,691,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,EHIWARIO SUNDAY,"GREEN BERVELY HILLS SKY BUNGALON, N
SEMBILAN, NILAI 71800, MALAYSIA
NILAI",71800,NILAI,20200204,D,NORMAL,,XEP,8,1.0,0.0,0.0,1.0,3.26,4/2/2020 9:50,14:53:11,,23:59,2.8124184,101.7618687,4533659362,HN,HN,1.0,,690,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,NILAI UNIVERSITY SDN BHD,"NO.1, PERSIARAN UNIVERSITI
PUTRA NILAI 70 NEGERI SEMBILAN
NILAI",71800,NILAI,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,0.16,,15:04:02,12:00,17:00,2.8153239,101.7697037,5862427174,PU,PU,2.0,,647,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,PK FERTILIZERS SDN BHD,"PKF BUILDING, NO. 12938, JALAN BBN
1/7D, PUTRA INDAH, 71800 NILAI,
NEGERI SEMBILAN",71800,NILAI,20200204,D,NORMAL,,DOX,D,1.0,0.0,0.0,1.0,0.3,4/2/2020 9:50,15:14:03,,23:59,2.8208113,101.7904758,2283346833,OK,DL,17.0,,689,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,EMERSON PROCESS MGMT VA M S/B,"PT 37592 LOT 13112 MUKIM LABU
KAWASAN PERINDUSTRIAN NILAI 70
NILAI",71800,NILAI,20200204,P,,REGULAR,WPX,P,1.0,0.0,1.0,1.0,12.42,,15:19:41,15:00,17:00,2.8208181,101.790353,4886642261,PU,PU,20.0,,688,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,ALPS,"PT.10643,
NILAI INDUSTRIAL ESTATE, 70 NEGERI SEMBILAN 
NILAI",71800,NILAI,20200204,P,,REGULAR,DOX,D,3.0,0.0,0.0,3.0,0.36,,15:27:41,15:15,17:00,2.8213402000000003,101.805365,5862390332,PU,PU,19.0,,687,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,EMERSON PROCESS MANAGEMENT,"LOT 13111 MUKIM LABU
NILAI IND. ESTATE 70 N.SEMBILAN
NILAI",71800,NILAI,20200204,D,NORMAL,,WPX,P,15.0,1.0,24.0,25.0,126.164,3/2/2020 6:35,15:33:42,,23:59,2.8199656,101.8042462,4450115412,OK,DL,3.0,,645,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,SKF BEARING INDUSTRIES,"LOT 7910
KAWASAN PERINDUSTRIAN NILAI
NILAI",71800,NILAI,20200204,D,NORMAL,,WPX,P,1.0,1.0,0.0,1.0,47.0,4/2/2020 9:05,15:41:02,,23:59,2.8157316000000003,101.8057338,2913567985,OK,DL,4.0,,646,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,SKF BEARING INDUSTRIES M SDN BHD,"LOT 7910 KAW. PERINDUSTRIAN NILAI
. 70
NILAI",71800,NILAI,20200204,P,,REGULAR,DOX,D,4.0,0.0,0.0,4.0,1.23,,15:47:12,16:30,17:00,2.8176478,101.8065226,4612213826,PU,PU,23.0,,694,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,EMERSON PROCESS MGMT MFG M SDN BHD,"PT37592 MUKIM LABU
KAWASAN PERINDUSTRIAN NILAI 70 NEGERI SEMBIL
NILAI",71800,NILAI,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,0.18,,15:54:55,,,2.8238783,101.802967,2202080101,PU,PU,3.0,,648,20200204-a-530
KUL,EAC,ACA4,B,moazrul,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,16:19:34,,23:59,2.704775,101.9168717,,ARRVD,,,,530arrvd,20200204-a-530
