PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id,batchID
KUL,EAC,ACA2,B,mohhamda,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,14:00:00,,23:59,2.7051759,101.9169416,,DEPAR,,,,472arrvd,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,SMR VINTAGE RESOURCES,"PT 11171 JALAN BBN 6/1R
TAMAN CEMPAKA 70
NILAI",71800,NILAI,20200204,P,,REGULAR,WPX,P,2.0,0.0,0.0,2.0,1.09,,14:28:45,15:30,17:00,2.7476301,101.7676243,2705334321,PU,PU,4.0,,635,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,EPSOM COLLEGE MALAYSIA SDN BHD,"PERSIARAN KOLEJ
. 70 N.SEMBILAN
BANDAR ENSTEK",71760,BANDAR ENSTEK,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.09,,14:36:25,12:15,17:00,2.7449257,101.7681559,4886738651,PU,PU,5.0,,636,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,ERL MAINTENANCE SUPPORT SDN BHD,"FOR EXPRESS RAIL LINK SDN BHD
KOMPLEKS REL UDARA, BANDAR BARU SAL 40 SELAN
SEPANG",43900,SEPANG,20200204,D,NORMAL,,DOX,D,1.0,0.0,0.0,1.0,0.04,4/2/2020 9:50,15:07:45,,23:59,2.8308336,101.712173,3464355565,OK,DL,8.0,,634,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,GS PAPERBOARD AND PACKAGING SDN BHD,"LOT 7090MUKIM TANJUNG 12 206
KARUNG BERKUNCI 40
BANTING",42700,BANTING,20200204,P,,REGULAR,WPX,P,1.0,0.0,0.0,2.0,6.19,,15:27:53,15:30,16:30,2.8021823,101.6515844,4693692360,PU,PU,3.0,,588,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,GS PAPER AND PACKAGI,LOT 7090MUKIM TANJUNG 12 206 KARUNG BERKUNCI,42700,BANTING,20200204,P,,REGULAR,,,0.0,0.0,0.0,0.0,,,15:32:53,15:00,16:30,2.8021902,101.6515702,068713 - 550157661,FP,FP,1.0,,589,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,DSM NUTRITIONAL PRODUCTS MALAYSIA,"LOT 105, JALAN 1,
KAWASAN PERINDUSTRIAN OLAK LEMPIT 40 SELANGO
BANTING",42700,BANTING,20200204,P,,REGULAR,DOX,D,3.0,0.0,0.0,3.0,0.64,,15:46:39,15:45,16:30,2.8305015,101.6074349,3260108880,PU,PU,5.0,,591,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,WENG MENG INDUSTRIES SDN BHD,"11 JALAN 8
KOMPLEKS PERABOT OLAK LEMPIT 40
BANTING",42700,BANTING,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,1.16,,15:54:03,14:15,16:30,2.8244292,101.6019151,3260048481,PU,PU,4.0,,590,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,GS PAPERBOARD & PACKAGING SDN BHD,"LOT 7090 MUKIM TANJUNG 12
KARUNG BERKUNCI 206 40 SELANGOR
BANTING",42700,BANTING,20200204,P,,REGULAR,WPX,P,1.0,0.0,0.0,1.0,0.46,,16:01:33,9:30,16:30,2.8308392,101.6072103,4693691645,PU,PU,6.0,,592,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,TQ IT-SOLUTIONS,"40 JLN ST 1D/8
TAMAN CEMPAKA 40 SELANGOR
SEPANG",43900,SEPANG,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,0.27,,16:30:13,13:00,16:30,2.7425824,101.6807876,5862381604,PU,PU,2.0,,631,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,TELEPORT MALAYSIA,"3A10, BLOCK C, PHILEO DAMANSARA 1,

",46350,PETALING JAYA,20200204,P,,REGULAR,WPX,P,6.0,0.0,6.0,6.0,3.92,,16:35:18,14:42,17:30,2.7426865,101.6805956,5993060301,PU,PU,3.0,,633,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,AIR ASIA X BERHAD,"RED Q JALAN PEKELILING 5 KLIA2
LAPANGAN TERBANG ANTARABANGSA
KLIA",64000,KLIA,20200204,D,NORMAL,,WPX,P,1.0,0.0,2.0,2.0,10.85,4/2/2020 9:03,16:40:23,,23:59,2.7426953,101.6808806,9106185244,OK,DL,7.0,,632,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,ROYAL BANK OF CANADA,"WISMA RBC
BLOCK 3544, 40 SELANGOR
CYBERJAYA",63000,CYBERJAYA,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.06,,17:04:11,13:15,17:00,2.8414933,101.6978911,8114196683,PU,PU,13.0,,527,20200204-a-472
KUL,EAC,ACA2,B,mohhamda,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,17:35:48,,23:59,2.7051759,101.9169416,,ARRVD,,,,472arrvd,20200204-a-472
