PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id,batchID
KUL,EAC,ACC4,B,msuffian,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,14:00:00,,23:59,2.701777,101.8952333,,DEPAR,,,,640arrvd,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,BAERLOCHER M TRADING,"LOT 635 AND 660 KAW PERIND
TUNKU JAAFAR SG GADUT 70 NEGERI SEMBILAN
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,0.26,,14:11:18,,,2.6760066000000005,102.0030031,4239249350,PU,PU,13.0,,725,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,SAMSUNG SDI ENERGY M SDN BHD,"LOT 635 & 660, KAWASAN
PERINDUSTRIAN TUANKU JAAFAR
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,WPX,P,4.0,0.0,6.0,9.0,46.97,,14:16:40,,,2.67714,102.003673,6173108023,PU,PU,8.0,,719,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,EXIS TECH SDN BHD,"LOT 26209 JLN TJ 2/2
TUANKU JAAFAR IND PARK 70
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,DOX,D,6.0,0.0,0.0,6.0,0.64,,14:22:07,,,2.6783877,102.0048729,2283384401,PU,PU,9.0,,720,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,CS ECO GLASS M SDN BHD,"LOT 635 & 660
KAWASAN PERINDUSTRIAN TUANKU JAAFAR 70 NEGER
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,WPX,P,1.0,0.0,1.0,1.0,10.44,,14:30:18,,,2.671277,102.0179599,4612268194,PU,PU,12.0,,724,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,CS ECO GLASS M SDN BHD,"LOT 635 & 660
KAWASAN PERINDUSTRIAN TUANKU JAAFAR 70 NEGER
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,WPX,P,1.0,0.0,1.0,1.0,8.58,,14:35:18,9:30,17:00,2.6711808999999995,102.0179309,4239348551,PU,PU,11.0,,723,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,CS ECO GLASS M SDN BHD,"LOT 635 & 660
KAWASAN PERINDUSTRIAN TUANKU JAAFAR 70 NEGER
SEREMBAN",71450,SEREMBAN,20200204,D,NORMAL,,WPX,P,1.0,0.0,1.0,1.0,5.46,3/2/2020 6:35,14:40:18,,23:59,2.6712817,102.0178795,7071258084,OK,DL,15.0,,722,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,KIBING GROUP M SDN.BHD.,"LOT 635 & 660,
KAWASAN PERINDUSTRIAN TUANKU JAAFAR
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.17,,14:47:27,,,2.6734093,102.0115364,4561370236,PU,PU,10.0,,721,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,BAERLOCHER M TRADING AND SERVICES,"SDN BHD. LOT 635 & 660 KAWASAN
PERINDUSTRIAN TUANKU JAAFAR 70 NEGERI SEMBIL
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,DOX,D,3.0,0.0,0.0,3.0,0.53,,14:55:17,9:30,17:00,2.6741769,102.0078572,2283242334,PU,PU,7.0,,718,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,NEXPERIA MALAYSIA SDN. BHD.,"PT 12687 TUANKU JAAFAR IND PARK
SEREMBAN, N.SEMBILAN
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,WPX,P,12.0,0.0,74.0,74.0,171.9,,15:01:54,,,2.6744979,102.005275,1898579900,PU,PU,6.0,,717,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,NEXPERIA MALAYSIA SDN. BHD.IWH BL,"PT 12687, TUANKU JAAFAR INDUSTRIAL
71450 SEREMBAN, NEGERI
SEREMBAN",71450,SEREMBAN,20200204,D,NORMAL,,WPX,P,1.0,0.0,2.0,2.0,6.3,4/2/2020 9:50,15:07:04,,23:59,2.6744024,102.0056579,6901754635,OK,DL,14.0,,716,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,NEXPERIA MALAYSIA SDN. BHD.,"PT 12687 TUANKU JAAFAR IND PARK

",71450,SEREMBAN,20200204,P,,REGULAR,WPX,P,1.0,3.0,0.0,3.0,436.8,,15:12:13,,,2.6744644,102.005297,6185143694,PU,PU,2.0,,620,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,NEXPERIA MALAYSIA SDN. BHD.,"PT 12687 TUANKU JAAFAR IND PARK
SEREMBAN, N.SEMBILAN
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,WPX,P,12.0,0.0,81.0,81.0,246.5,,15:17:14,,,2.6744743,102.0052447,1898579841,PU,PU,1.0,,619,20200204-a-640
KUL,EAC,ACC4,B,msuffian,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,15:34:49,,23:59,2.701777,101.8952333,,ARRVD,,,,640arrvd,20200204-a-640
