PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id
KUL,EAC,ACA1,B,rafinord,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,14:00:00,,23:59,2.7049887000000004,101.9167485,,DEPAR,,,,447arrvd
KUL,EAC,ACA1,B,rafinord,DHL Courier,PURECIRCLE SDN BHD,PURECIRCLE SDN BHD,70000,SEREMBAN,20200204,P,,REGULAR,DOM,N,1.0,0.0,0.0,1.0,0.06,,14:27:15,11:00,17:00,2.7370228,101.7647909,5862388501,PU,PU,7.0,,638
KUL,EAC,ACA1,B,rafinord,DHL Courier,JOWAT MANUFACTURING SEA SDN. BHD.,JOWAT MANUFACTURING SEA SDN. BHD.,71760,BANDAR ENSTEK,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.52,,14:35:20,16:00,17:00,2.7320758,101.7654226,5862391183,PU,PU,6.0,,637
KUL,EAC,ACA1,B,rafinord,DHL Courier,SEPANG INTERNATIONAL CIRCUIT SDN. B,SEPANG INTERNATIONAL CIRCUIT SDN. B,64000,KLIA,20200204,D,NORMAL,,WPX,P,1.0,0.0,7.0,7.0,87.45,3/2/2020 6:35,14:53:47,,23:59,2.7595355,101.7317439,7980846510,OK,DL,6.0,,630
KUL,EAC,ACA1,B,rafinord,DHL Courier,EXPEDITORS MALAYSIA SDN BHD,EXPEDITORS MALAYSIA SDN BHD,64000,KLIA,20200204,P,,REGULAR,WPX,P,1.0,0.0,3.0,3.0,14.8,,15:21:02,14:45,18:00,2.7337048,101.7137635,5862415451,PU,PU,8.0,,492
KUL,EAC,ACA1,B,rafinord,DHL Courier,TRANSWAYS LOGISTICS SDN BHD,TRANSWAYS LOGISTICS SDN BHD,64000,KLIA,20200204,P,,REGULAR,DOM,N,1.0,0.0,2.0,2.0,1.56,,15:26:04,14:00,17:00,2.7346206000000004,101.7136264,6904788391,PU,PU,7.0,,491
KUL,EAC,ACA1,B,rafinord,DHL Courier,FORWARD FREIGHT SERVICES SDN BHD,FORWARD FREIGHT SERVICES SDN BHD,43900,SEPANG,20200204,P,,REGULAR,WPX,P,2.0,0.0,9.0,9.0,59.8,,15:31:04,14:00,17:30,2.7352539,101.7143829,4886786100,PU,PU,6.0,,490
KUL,EAC,ACA1,B,rafinord,DHL Courier,SEPANG AIRCRAFT ENGI,SEPANG AIRCRAFT ENGI,64000,KLIA SEPANG,20200204,P,,REGULAR,,,0.0,0.0,0.0,0.0,,,15:39:12,14:56,17:00,2.7364462000000005,101.715517,075347 - 952427971,FP,FP,1.0,,493
KUL,EAC,ACA1,B,rafinord,DHL Courier,MALAYSIA AIRLINES BERHAD,MALAYSIA AIRLINES BERHAD,64000,KLIA,20200204,P,,REGULAR,WPX,P,5.0,0.0,5.0,5.0,11.02,,16:03:36,,,2.7274119,101.7186568,4886705493,PU,PU,10.0,,495
KUL,EAC,ACA1,B,rafinord,DHL Courier,CAE KUALA LUMPUR SDN BHD,CAE KUALA LUMPUR SDN BHD,64000,KLIA,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,2.04,,16:11:30,14:50,17:30,2.7265691000000003,101.7236806,6905012052,PU,PU,11.0,,496
KUL,EAC,ACA1,B,rafinord,DHL Courier,AIRASIA X BERHAD,AIRASIA X BERHAD,64000,KLIA,20200204,P,,REGULAR,WPX,P,6.0,0.0,6.0,6.0,17.52,,16:18:24,10:30,16:30,2.7276754,101.725099,5862358666,PU,PU,12.0,,497
KUL,EAC,ACA1,B,rafinord,DHL Courier,PSH EXPRESS SDN BHD,PSH EXPRESS SDN BHD,40670,SHAH ALAM,20200204,P,,REGULAR,DOX,D,15.0,0.0,0.0,15.0,5.41,,16:29:44,,,2.7347705,101.7184205,7216946785,PU,PU,9.0,,494
KUL,EAC,ACA1,B,rafinord,DHL Courier,TRISYSTEMS ENGINEERING SDN BHD,TRISYSTEMS ENGINEERING SDN BHD,64000,KLIA,20200204,P,,REGULAR,DOM,N,1.0,0.0,1.0,1.0,1.85,,16:37:51,10:15,16:30,2.7363206,101.7181487,9629799233,PU,PU,5.0,,489
KUL,EAC,ACA1,B,rafinord,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,17:27:37,,23:59,2.7049887000000004,101.9167485,,ARRVD,,,,447arrvd
