PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id,batchID
KUL,EAC,ACQ2,B,ravenda,Service Partner,,,,,20200204,,,,,,0.0,0.0,0.0,,,,14:00:00,,23:59,2.7048401,101.9165402,,DEPAR,,,,697arrvd,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,CIMB BANK BERHAD,"TRADE SERVICES CENTRE
NO 1A & 2BWISMA DPMNS 70 NEGERI SEMBILAN
SEREMBAN",70000,SEREMBAN,20200204,P,,REGULAR,DOX,D,4.0,0.0,0.0,4.0,0.83,,14:00:34,14:45,17:00,2.7278094,101.9383367,4612256725,PU,PU,5.0,,571,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,AKASHI KIKAI INDUSTRY M SDN. BHD.,"PT. 11634, JALAN TECHVALLEY 3B/1,
SENDAYAN TECHVALLEY, 71950, 70 NEGERI SEMBIL
SEREMBAN",71950,SEREMBAN,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.17,,14:21:59,13:45,17:00,2.663629,101.8349076,1613319680,PU,PU,8.0,,610,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,DAIHATSU PERODUA ENGINE MANUFACTURI,"PT 11690 JALAN TECHVALLEY 3/1
SENDAYAN TECHVALLEY, SRI SENDAYAN 70 N.SEMBI
SEREMBAN",71950,SEREMBAN,20200204,D,NORMAL,,DOX,D,2.0,0.0,1.0,2.0,12.46,4/2/2020 9:50,14:29:06,,23:59,2.6596425,101.8377821,9629692671,OK,DL,5.0,,609,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,VIO STAR INTERNATIONAL M SDN BHD,"LOT 46741, JLN TECHVALLEY 3/1,
KWS PERINDUSTRIAN SENDAYAN 70 NEGERI SEMBILA
SEREMBAN",71950,SEREMBAN,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.11,,14:35:22,9:30,17:00,2.6571872,101.835141,3464293361,PU,PU,7.0,,608,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,PMP DRIVE SYSTEMS SEA SDN BHD,"LOT 12672, JALAN TECHVALLEY 2/1
SENDAYAN TECHVALLEY 70 NEGERI SEMBILAN
SEREMBAN",71950,SEREMBAN,20200204,P,,REGULAR,WPX,P,1.0,0.0,0.0,1.0,0.26,,14:44:51,9:00,17:00,2.6674094,101.8350906,2283329506,PU,PU,9.0,,611,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,KOITO MALAYSIA SDN BHD,"PT 12630, JLN TECHVALLEY 4/2
KWSN PERIND SENDAYAN TECHVALLE 70
SEREMBAN",71950,SEREMBAN,20200204,P,,REGULAR,WPX,P,2.0,0.0,0.0,2.0,0.47,,14:51:17,13:45,17:30,2.671066,101.8342608,2412253616,PU,PU,10.0,,612,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,KAYAKU SAFETY SYSTEM MALAYSIA SDN B,"PT12627,PT12628&PT12629, JLN TECHVA
SENDAYAN TECHVALLEY, BANDAR SRI SEN
SEREMBAN",71950,SEREMBAN,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.09,,14:57:10,14:00,17:00,2.6737723,101.8322052,6904540156,PU,PU,11.0,,613,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,MEDIJOY INTERNATIONA,"PT12637,JALAN TECHVALLEY 3/2, SENDAYAN TECHVALLEY",71950,SEREMBAN,20200204,P,,REGULAR,,,0.0,0.0,0.0,0.0,,,15:04:49,15:00,16:30,2.6816927,101.8335698,034802 - 550167321,FP,FP,2.0,,615,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,MEDIJOY INTERNATIONAL SDN BHD,"PT12637,JALAN TECHVALLEY 3/2,
SENDAYAN TECHVALLEY 70 N.SEMBILAN
SEREMBAN",71950,SEREMBAN,20200204,P,,REGULAR,JBX,J,3.0,0.0,3.0,3.0,21.56,,15:09:49,15:00,16:30,2.6816814,101.8335949,2202062811,PU,PU,12.0,,614,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,DAIDONG ENGINEERING MALAYSIA,"LOT 11647 , JALAN TECHVALLEY 1/2
SENDAYAN TECHVALLEY 70 NEGERI SEMBILAN
SEREMBAN",71950,SEREMBAN,20200204,P,,REGULAR,DOM,N,1.0,0.0,1.0,1.0,1.74,,15:17:40,15:00,17:00,2.681217,101.839952,3260057452,PU,PU,13.0,,616,20200204-a-697
KUL,EAC,ACQ2,B,ravenda,Service Partner,,,,,20200204,,,,,,0.0,0.0,0.0,,,,15:36:00,,23:59,2.7048401,101.9165402,,ARRVD,,,,697arrvd,20200204-a-697
