PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id
KUL,EAC,ACA3,B,ridzshah,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,14:00:00,,23:59,2.7048605,101.9167195,,DEPAR,,,,499arrvd
KUL,EAC,ACA3,B,ridzshah,DHL Courier,LEE CHONG LIANG AGENCY,LEE CHONG LIANG AGENCY,63000,CYBERJAYA,20200204,D,NORMAL,,DOM,N,1.0,0.0,0.0,1.0,0.12,4/2/2020 13:05,14:45:16,,23:59,2.9223941000000004,101.65073879999998,9904501224,OK,DL,15.0,,523
KUL,EAC,ACA3,B,ridzshah,DHL Courier,HSBC ELECTRONIC DATA PROCESSING MA,HSBC ELECTRONIC DATA PROCESSING MA,63000,CYBERJAYA,20200204,D,NORMAL,,DOM,N,1.0,0.0,0.0,1.0,0.08,4/2/2020 9:05,14:52:29,,23:59,2.9226724,101.6541437,1261327620,OK,DL,14.0,,520
KUL,EAC,ACA3,B,ridzshah,DHL Courier,EMERIO MALAYSIA SDN BHD,EMERIO MALAYSIA SDN BHD,63000,CYBERJAYA,20200204,P,,REGULAR,DOX,D,2.0,0.0,0.0,2.0,0.7,,15:00:22,14:45,17:00,2.925485,101.6538753,2705320682,PU,PU,8.0,,521
KUL,EAC,ACA3,B,ridzshah,DHL Courier,SHELL BUSINESS SERVICE CENTRE,SHELL BUSINESS SERVICE CENTRE,63000,CYBERJAYA,20200204,P,,REGULAR,DOX,D,5.0,0.0,0.0,5.0,1.78,,15:08:00,,,2.9273815,101.6532586,8309883153,PU,PU,9.0,,522
KUL,EAC,ACA3,B,ridzshah,DHL Courier,TECH MAHINDRA ICT SERVICES,TECH MAHINDRA ICT SERVICES,63000,CYBERJAYA,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,1.77,,15:17:23,11:00,18:00,2.9154382,101.6585058,6904551861,PU,PU,6.0,,518
KUL,EAC,ACA3,B,ridzshah,DHL Courier,MODKHA MARINE SDN BHD,MODKHA MARINE SDN BHD,63000,CYBERJAYA,20200204,P,,REGULAR,WPX,P,1.0,0.0,1.0,1.0,5.38,,15:25:37,9:30,11:15,2.9129871,101.652382,2202087252,PU,PU,10.0,,524
KUL,EAC,ACA3,B,ridzshah,DHL Courier,LEE CHONG LIANG AGENCY,LEE CHONG LIANG AGENCY,63000,CYBERJAYA,20200204,D,NORMAL,,DOM,N,1.0,0.0,0.0,1.0,0.12,4/2/2020 13:05,15:32:28,,23:59,2.9100533,101.6558725,9904501224,HN,HN,2.0,,765
KUL,EAC,ACA3,B,ridzshah,DHL Courier,RBC INVESTOR SERVICES MALAYSIA SDN,RBC INVESTOR SERVICES MALAYSIA SDN,63000,CYBERJAYA,20200204,P,,REGULAR,DOX,D,10.0,0.0,0.0,10.0,1.65,,15:38:59,13:45,17:00,2.9145492,101.6564715,8114199811,PU,PU,12.0,,526
KUL,EAC,ACA3,B,ridzshah,DHL Courier,NTT DATA MALAYSIA SDN. BHD.,NTT DATA MALAYSIA SDN. BHD.,63000,CYBERJAYA,20200204,D,NORMAL,,DOX,D,1.0,0.0,0.0,1.0,0.1,3/2/2020 18:54,15:46:35,,23:59,2.9228564,101.6615002,2619870352,OK,DL,12.0,,516
KUL,EAC,ACA3,B,ridzshah,DHL Courier,"KHAMIDULLIN ANDREY, BINARY GRO","KHAMIDULLIN ANDREY, BINARY GRO",63000,CYBERJAYA,20200204,D,NORMAL,,WPX,P,1.0,0.0,1.0,1.0,2.2230000000000003,4/2/2020 9:50,15:51:36,,23:59,2.9228796000000004,101.6615264,4757061864,OK,DL,13.0,,517
KUL,EAC,ACA3,B,ridzshah,DHL Courier,ATOS SERVICES M SDN BHD,ATOS SERVICES M SDN BHD,63000,CYBERJAYA,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.28,,15:59:18,15:35,17:30,2.9257819,101.6613507,6904970041,PU,PU,11.0,,525
KUL,EAC,ACA3,B,ridzshah,DHL Courier,EXQUISITO SDN BHD,EXQUISITO SDN BHD,63000,CYBERJAYA,20200204,P,,REGULAR,DOM,N,8.0,0.0,3.0,8.0,31.13,,16:09:03,,,2.9225122000000003,101.6573498,9904521340,PU,PU,7.0,,519
KUL,EAC,ACA3,B,ridzshah,DHL Courier,,,,,20200204,,,,,,0.0,0.0,0.0,,,,17:00:06,,23:59,2.7048605,101.9167195,,ARRVD,,,,499arrvd
