PUD Svc Area,PUD Fac,PUD Rte,PUD Cycle,Courier id,Courier Type,Customer Name,Street,zip,City,Act Dt,Act Base,Delivery Type,Pickup Type,Prod Grp,Prod Code,ShpCnt,Pallets Pcs,Parcel Pcs,Total Pcs,Weight,AR dtm,Act Tm,Open,Closed,lat,lgtd,awb_booking,Act Ckpt Code,PuD Type,Stop Code,MarkerColor,id,batchID
KUL,EAC,ACQ1,B,subrniam,Service Partner,,,,,20200204,,,,,,0.0,0.0,0.0,,,,14:00:00,,23:59,2.7050153,101.9164235,,DEPAR,,,,651arrvd,20200204-a-651
KUL,EAC,ACQ1,B,subrniam,Service Partner,SEOWON PRECISION GLASS M SDN. BHD,"LOT 2838 KAWASAN
PERINDUSTRIAN CHEMBONG,
NEGERI SEMBILAN, DARUL KHUSUS,",71300,REMBAU,20200204,D,NORMAL,,DOX,D,1.0,0.0,0.0,1.0,0.1,4/2/2020 9:50,14:17:09,,23:59,2.6046776,102.0689446,2619871483,OK,DL,10.0,,563,20200204-a-651
KUL,EAC,ACQ1,B,subrniam,Service Partner,SEOWON PRECISION GLASS M SDN.BHD.,"LOT PT 2838 KAWASAN PERINDUSTRIAN
CHEMBONG REMBAU NEGERI SEMBILAN 70
REMBAU",71300,REMBAU,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.1,,14:22:09,15:45,17:00,2.6046775,102.0688996,4239268213,PU,PU,1.0,,565,20200204-a-651
KUL,EAC,ACQ1,B,subrniam,Service Partner,NESTLE ASEAN M SDN BHD,"SAN PERINDUSTRIAN JALAN PERUSHAHAN UTAMAKAWA
REMBAU NEGERI SEMBILAN
REMBAU",71300,REMBAU,20200204,D,NORMAL,,WPX,P,1.0,1.0,0.0,1.0,171.5,31/1/2020 9:57,14:32:06,,23:59,2.6068432,102.0726334,2315019475,OK,DL,11.0,,564,20200204-a-651
KUL,EAC,ACQ1,B,subrniam,Service Partner,PEJABAT KESIHATAN DAERAH REMBAU,"JALAN BATU HAMPAR
71300 REMBAU 70 N.SEMBILAN
REMBAU",71300,REMBAU,20200204,D,NORMAL,,DOM,N,1.0,0.0,0.0,1.0,0.09,4/2/2020 9:05,14:45:48,,23:59,2.5864799,102.0934511,2283351335,OK,DL,9.0,,562,20200204-a-651
KUL,EAC,ACQ1,B,subrniam,Service Partner,HEVEABOARD BERHAD,"PT 414 & 406, KAWASAN PERINDUSTRIAN
SG.GADUT, KM11, JALAN TAMPIN 70 N.SEMBILAN
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,JBX,J,4.0,0.0,2.0,4.0,2.52,,15:04:48,9:30,17:00,2.6572236,102.0062887,2283295711,PU,PU,5.0,,715,20200204-a-651
KUL,EAC,ACQ1,B,subrniam,Service Partner,SEREMBAN FUNITURE INDUSTRIES SDN BH,"LOT 168, PT 767, SG. GADUT IND.
PARK, JLN TAMPIN.
SEREMBAN",71450,SEREMBAN,20200204,P,,REGULAR,DOX,D,1.0,0.0,0.0,1.0,0.36,,15:12:33,15:00,17:00,2.6609358,102.0111684,6904944863,PU,PU,4.0,,714,20200204-a-651
KUL,EAC,ACQ1,B,subrniam,Service Partner,PHILIP MORRIS MALAYSIA SDN BHD,"LOT 3971 OAKLAND INDUSTRIAL PARK
70200 SEREMBAN NEGERI SEMBILAN 70
SEREMBAN",70200,SEREMBAN,20200204,P,,REGULAR,DOM,N,1.0,0.0,0.0,1.0,1.46,,15:30:59,16:45,17:00,2.7024459,101.923488,4239324375,PU,PU,5.0,,551,20200204-a-651
KUL,EAC,ACQ1,B,subrniam,Service Partner,METALMACH MICRO TECH,"LOT 17243, PT 4986, OAKLAND INDUSTR PARK",70300,SEREMBAN,20200204,P,,REGULAR,,,0.0,0.0,0.0,0.0,,,15:36:41,12:00,14:00,2.6989970000000003,101.9245036,004805 - 550592370,FP,FP,1.0,,548,20200204-a-651
KUL,EAC,ACQ1,B,subrniam,Service Partner,N.S.AMERIX TOOLING SDN BHD,"NO 181,182 & 183,JALAN S2 C9,
SEKSYEN C,SEREMBAN 2, 70 NEGERI SEMBILAN
SEREMBAN",70300,SEREMBAN,20200204,P,,REGULAR,JBX,J,1.0,0.0,1.0,1.0,5.32,,15:46:20,15:45,17:00,2.6870914,101.9262197,3260090934,PU,PU,3.0,,549,20200204-a-651
