AR dtm,Act Base,Act Ckpt Code,Act Dt,Act Tm,City,Closed,Courier Type,Courier id,Customer Name,Delivery Type,MarkerColor,Open,PUD Cycle,PUD Fac,PUD Rte,PUD Svc Area,Pallets Pcs,Parcel Pcs,Pickup Type,Prod Code,Prod Grp,PuD Type,ShpCnt,Stop Code,Street,Total Pcs,Weight,awb_booking,batchID,id,lat,lgtd,zip
,,ARRVD,20200204.0,8:45:00,,23:59,Service Partner,ravenda,,,,,B,EAC,ACQ2,KUL,0.0,0.0,,,,,0.0,,,,,,20200204-m-697,697,2.7048401,101.9165402,
4/2/2020 9:50,D,OK,20200204.0,9:08:46,NILAI,23:59,Service Partner,ravenda,-,NORMAL,,,B,EAC,ACQ2,KUL,0.0,0.0,,D,DOX,DL,1.0,13.0,"71800
KAWASAN PERINDUSTRIAN NILAI 3
71800 NILAI, NEGERI SEMBILAN",1.0,0.3,2619845524,20200204-m-697,669,2.8546912,101.7990082,71800
4/2/2020 9:50,D,OK,20200204.0,9:18:00,NILAI,23:59,Service Partner,ravenda,TKL TOTAL LOGISTICS KL SDN BHD,NORMAL,,,B,EAC,ACQ2,KUL,0.0,0.0,,D,DOX,DL,1.0,12.0,"LOT 16104 JALAN NILAI 3/16
KAWASAN PERINDUSTRIAN NILAI 3
NILAI NEGERI SEMBILAN",1.0,0.5,1479399025,20200204-m-697,668,2.8588169,101.7932446,71800
4/2/2020 9:50,D,OK,20200204.0,9:29:49,NILAI,23:59,Service Partner,ravenda,MNA METAL RESOURCES SDN BHD,NORMAL,,,B,EAC,ACQ2,KUL,0.0,0.0,,D,DOX,DL,1.0,10.0,"LOT 112, LORONG PERMARA 1/4
ARAB MALAYSIAN INDUSTRIAL PARK 70 N.SEMBILAN
NILAI",1.0,0.19,3464265733,20200204-m-697,664,2.8616945,101.8059716,71800
4/2/2020 9:50,D,OK,20200204.0,9:37:53,NILAI,23:59,Service Partner,ravenda,EXEDY MALAYSIA SDN BHD,NORMAL,,,B,EAC,ACQ2,KUL,0.0,0.0,,D,DOX,DL,1.0,11.0,"PT 16748 JALAN PERMATA 1/5
ARAB MALAYSIAN INDUSTRIAL PARK
NILAI",1.0,0.17,5992724323,20200204-m-697,667,2.8654803,101.8028029,71800
,P,PU,20200204.0,9:44:37,NILAI,17:00,Service Partner,ravenda,SGB MY SDN BHD,,,14:00,B,EAC,ACQ2,KUL,0.0,0.0,REGULAR,P,WPX,PU,2.0,5.0,"PT 16688 & 16689
JLN PERMATA 2,
NILAI",2.0,0.39,6904707681,20200204-m-697,666,2.8676182999999997,101.8014511,71800
,P,PU,20200204.0,9:51:58,NILAI,17:00,Service Partner,ravenda,INTERPRINT DECOR M SDN BHD,,,15:30,B,EAC,ACQ2,KUL,0.0,3.0,REGULAR,P,WPX,PU,7.0,4.0,"LOT 121 JALAN PERMATA 2
ARAB MALAYSIAN INDUSTRIAL PARK 70
NILAI",7.0,13.09,4886695730,20200204-m-697,665,2.8672274,101.8069718,71800
4/2/2020 9:50,D,OK,20200204.0,9:58:47,NILAI,23:59,Service Partner,ravenda,PERNIAGAAN LOGAM XING FA SDN.BHD.,NORMAL,,,B,EAC,ACQ2,KUL,0.0,0.0,,8,XEP,DL,1.0,8.0,"PT 3340&3341, JALAN PERMATA 1/2,
ARAB MALAYSIAN INDUSTRIAL PARK,
NILAI",1.0,0.24,9904427610,20200204-m-697,662,2.8666658,101.8122454,71800
4/2/2020 9:50,D,OK,20200204.0,10:06:29,NILAI,23:59,Service Partner,ravenda,JOHNSON MATTHEW SDN BHD,NORMAL,,,B,EAC,ACQ2,KUL,0.0,0.0,,D,DOX,DL,1.0,9.0,"PT 3349 JALAN PERMATA 1/2
ARAB-MALAYSIAN INDUSTRIAL PAR
NLAI NEGERI SEMBILAN",1.0,0.5,6898089973,20200204-m-697,663,2.8623554,101.8115265,71800
4/2/2020 9:50,D,OK,20200204.0,10:18:02,NILAI,23:59,Service Partner,ravenda,PETERLABS HOLDINGS BERHAD,NORMAL,,,B,EAC,ACQ2,KUL,0.0,0.0,,D,DOX,DL,1.0,7.0,"LOT 16014 PT NO. 24341, JALAN NILAM
3 BANDAR NILAI UTAMA 70 N.SEMBILAN
NILAI",1.0,0.92,4191489466,20200204-m-697,661,2.8503773999999997,101.8057304,71800
